id,ts,sensor,reading,quality,label
60,1762674292,s33,2.8064,ok,0
61,2026-06-10,s13,6.5347,BAD,1
62,2026-03-11,s21,-0.4229,OK,0
63,1778465677,s17,1.9289,,0
64,1772326428,s28,7.0234,,1
65,1740492067,s7,-0.5726,OK,0
66,1789401565,s22,5.193,ok,0
67,1710312480,s33,-2.5562,BAD,0
68,2026-01-11,s16,2.7474,BAD,1
69,1786974374,s1,2.3189,BAD,1
70,2026-09-16,s29,0.9223,BAD,0
71,1721465652,s31,-1.5564,BAD,2
72,1738176337,s39,2.3861,,0
73,1775248396,s19,2.7285,good,1
74,1707085548,s26,2.3443,OK,0
75,1757648626,s17,1.1187,good,0
76,2026-03-13,s4,1.7864,,0
77,2026-04-10,s8,-2.7692,ok,2
78,2026-07-15,s19,1.9978,good,1
79,1741419878,s18,-2.061,,2
80,2026-05-13,s33,2.269,OK,1
81,1736364877,s28,-4.8412,ok,2
82,2026-02-12,s24,0.4021,ok,0
83,2026-06-15,s5,3.9143,OK,1
84,1734637870,s10,-2.1629,OK,0
85,2026-06-14,s28,5.5871,BAD,1
86,1757980506,s30,-3.5539,ok,2
87,2026-02-14,s20,5.0954,ok,1
88,1788216368,s24,4.0666,OK,1
89,1771163747,s30,-1.7359,,0
90,1748545774,s2,5.3487,BAD,1
91,1775672584,s25,9.1409,BAD,1
92,2026-08-14,s34,-1.6442,ok,2
93,1787403137,s5,2.9893,BAD,0
94,2026-05-11,s2,-6.0345,ok,2
95,1729588277,s34,-3.9193,ok,2
96,2026-03-17,s40,4.6664,good,1
97,1711979427,s35,-0.795,good,0
98,2026-07-16,s11,,ok,2
99,1752254588,s34,-2.7399,OK,2
100,2026-05-12,s30,3.9354,ok,1
101,2026-06-11,s23,4.7092,ok,0
102,1724828539,s26,-1.0709,BAD,0
103,1764356209,s32,-0.2843,good,0
104,2026-08-13,s14,5.9138,ok,1
105,2026-09-18,s16,0.1549,,0
106,1721111159,s11,3.7465,OK,0
107,2026-03-19,s10,1.7205,BAD,1
108,1747208093,s40,-2.988,OK,2
109,1778736610,s2,-3.0933,,2
110,1772930068,s34,-2.4797,,0
111,2026-06-14,s36,6.5002,good,1
112,1789611938,s30,7.1695,ok,1
113,1750617095,s16,-3.0458,ok,2
114,1784258114,s35,,OK,1
115,2026-07-18,s17,-3.7811,good,2
116,1759976065,s6,1.9029,good,0
117,2026-03-12,s26,3.7756,ok,0
118,1716657516,s27,2.2531,OK,0
119,2026-09-12,s10,-1.0617,,0
120,2026-07-19,s39,-4.2179,ok,2
121,1741175056,s7,,good,2
122,1772321627,s36,-4.5436,ok,2
123,2026-09-12,s34,2.4938,BAD,0
124,2026-04-11,s31,-4.1307,ok,2
125,1748479294,s30,-7.0651,good,2
126,2026-09-18,s36,-1.782,BAD,0
127,1700509878,s24,5.3599,good,1
128,2026-09-11,s26,1.0894,BAD,0
129,2026-05-16,s11,-0.7075,OK,0
130,2026-07-12,s17,0.6028,ok,0
131,1719427646,s32,1.2451,good,0
132,1765201531,s27,-1.6749,BAD,2
133,1770464462,s27,5.4952,ok,1
134,1743206044,s38,0.7406,,0
135,2026-04-18,s31,1.5451,,0
136,1789349183,s35,0.1151,,2
137,2026-04-16,s5,6.9281,OK,1
138,2026-08-10,s20,0.0574,BAD,0
139,1771196845,s10,0.8831,ok,0
140,1743533670,s10,4.0374,,1
141,1726240180,s23,3.2809,OK,1
142,2026-04-18,s13,7.0439,BAD,1
143,2026-06-14,s22,1.2572,good,0
144,2026-04-14,s18,0.0136,OK,2
145,2026-05-14,s38,0.1643,BAD,0
146,2026-05-12,s30,-2.7996,OK,2
147,2026-02-18,s39,2.5099,BAD,0
148,2026-03-14,s12,-3.2946,ok,2
149,1704511240,s38,5.8361,ok,1
150,1743057366,s3,8.2936,ok,1
151,2026-09-12,s8,-2.9366,BAD,2
152,2026-04-14,s38,-5.4584,good,2
153,1707048602,s12,-1.9466,ok,2
154,2026-09-17,s5,4.6973,,1
155,2026-09-19,s4,1.2782,BAD,0
156,2026-05-19,s33,2.0234,BAD,1
157,1788450445,s4,2.2549,OK,0
158,2026-03-17,s10,3.0494,ok,1
159,2026-01-13,s6,-2.0875,ok,2
160,2026-04-14,s36,2.591,ok,1
161,1741446519,s40,0.2979,ok,0
162,2026-06-19,s30,2.7719,ok,0
163,2026-07-16,s27,4.9511,OK,1
164,1728783489,s20,4.5705,,1
165,1772521198,s27,7.6953,OK,1
166,1724434161,s33,2.3851,BAD,0
167,2026-05-11,s10,4.9229,OK,1
168,1751594725,s6,-1.4332,ok,2
169,2026-01-14,s32,3.841,BAD,1
170,1756915506,s35,1.8245,OK,0
171,1760625156,s10,-1.0014,BAD,2
172,2026-07-18,s7,2.129,OK,0
173,2026-04-12,s31,2.5799,BAD,1
174,2026-04-18,s24,0.0405,ok,2
175,1716080617,s32,1.2175,good,0
176,2026-04-12,s31,-3.1503,good,0
177,1745880273,s10,1.2634,OK,0
178,2026-07-11,s26,2.0704,ok,1
179,1743692095,s5,3.1114,,1
180,1786210608,s25,2.5524,good,0
181,2026-01-19,s4,-2.6494,good,2
182,1751254621,s3,-5.3903,ok,2
183,1748371915,s2,0.3403,good,0
184,1700124740,s1,-0.1256,OK,0
185,1775264484,s17,0.1222,BAD,0
186,2026-07-12,s11,4.7828,OK,1
187,1755673427,s24,4.7162,,1
188,2026-06-12,s5,-4.0415,good,2
189,1768767123,s3,-0.84,good,0
190,1768108764,s17,-0.3411,good,0
191,2026-06-12,s37,-4.2846,good,2
192,2026-05-12,s25,-0.7141,BAD,0
193,2026-03-10,s18,-3.7735,OK,2
194,2026-03-10,s3,-3.1814,,2
195,2026-02-16,s35,2.3596,BAD,0
196,1782914689,s10,4.8193,good,1
197,1719715696,s12,-2.4083,OK,2
198,2026-02-12,s18,-2.5987,,0
199,2026-07-14,s6,-4.3259,good,2
200,2026-02-10,s1,5.1894,OK,1
201,2026-04-16,s27,3.1726,OK,0
202,1725317190,s16,5.1336,BAD,1
203,2026-03-10,s5,2.8074,ok,1
204,2026-08-10,s24,2.5953,BAD,1
205,1753589203,s35,3.3342,good,0
206,2026-07-16,s1,-2.4164,,2
207,1767937227,s24,-8.2243,good,2
208,2026-02-14,s12,-4.0887,good,2
209,2026-09-14,s23,-0.2833,OK,0
210,2026-01-16,s26,1.9717,ok,0
211,1723429401,s5,2.4417,BAD,0
212,1723865544,s5,1.1407,OK,2
213,2026-03-15,s10,0.3541,good,2
214,1784372309,s33,-4.1625,OK,2
215,1789315533,s27,-4.314,ok,2
216,1770895514,s29,2.7536,ok,1
217,1720391589,s22,4.4834,BAD,1
218,1717004013,s8,4.3824,BAD,1
219,1768666102,s17,-0.5552,OK,0
220,2026-06-17,s28,1.2,BAD,0
221,1774490383,s32,1.4614,OK,0
222,2026-02-12,s7,2.896,BAD,0
223,1715757869,s12,,good,1
224,2026-02-11,s35,-5.6785,,2
225,2026-09-16,s22,-0.7451,OK,2
226,2026-04-13,s11,-4.0125,BAD,2
227,1715572463,s23,-0.6735,ok,2
228,1741643529,s13,,ok,2
229,1782239762,s18,-0.0757,good,0
230,2026-07-13,s19,5.1167,BAD,1
231,1730283911,s25,1.6888,good,0
232,1744733735,s38,0.8971,ok,0
233,2026-05-10,s1,2.0613,good,1
234,2026-07-14,s38,2.7945,,1
235,1711862887,s2,2.7091,ok,0
236,1709736221,s11,6.8611,ok,1
237,1702817136,s28,4.9545,,1
238,2026-08-16,s34,-0.6447,ok,0
239,2026-03-18,s6,-5.2626,good,2
240,1758135037,s10,2.2996,good,0
241,1747124521,s35,3.2571,good,0
242,2026-09-19,s37,-3.8546,good,2
243,1741400907,s23,0.8165,ok,0
244,2026-08-12,s30,1.0377,OK,0
245,2026-09-12,s27,2.8603,ok,0
246,2026-01-13,s25,-5.7377,,2
247,1714798168,s20,-1.3294,BAD,0
248,1728811235,s35,-5.1739,,2
249,2026-06-17,s37,-1.7327,,0
250,2026-05-13,s28,-2.2701,good,2
251,2026-06-17,s20,4.14,,1
252,2026-04-11,s21,-0.9586,,2
253,2026-09-18,s24,5.3341,OK,1
254,1780269977,s20,3.794,good,1
255,1724656327,s8,0.5312,BAD,0
256,1736254936,s24,-2.9121,OK,2
257,2026-02-11,s17,2.8475,BAD,1
258,2026-05-10,s26,5.5026,good,1
259,2026-06-10,s38,-2.7921,OK,2
260,2026-03-11,s25,-0.0603,ok,2
261,2026-08-15,s23,4.6031,ok,1
262,2026-05-18,s7,-1.6061,,2
263,1736779678,s27,2.0256,OK,1
264,1752076468,s7,4.3096,,0
265,1701977808,s11,-5.5143,OK,2
266,1779028324,s23,-4.4125,,2
267,2026-06-11,s17,-1.0494,,2
268,2026-05-16,s28,4.2109,ok,1
269,1761174139,s32,-5.3368,OK,2
270,1704707230,s37,1.3525,good,0
271,1759956180,s20,3.9901,good,0
272,2026-06-11,s38,1.0194,BAD,0
273,1714621617,s39,2.0489,good,0
274,1789626535,s19,-2.1348,OK,2
275,2026-08-11,s19,4.4016,good,1
276,2026-03-19,s35,5.4696,BAD,1
277,1707292260,s24,-3.3599,BAD,2
278,1785908644,s37,-2.6954,good,2
279,2026-02-18,s20,-4.2766,OK,2
280,2026-05-15,s5,2.8627,good,0
281,2026-03-18,s28,,BAD,0
282,1713655051,s9,-3.3275,BAD,2
283,2026-01-18,s9,3.8102,,1
284,2026-09-12,s39,4.4518,OK,1
285,2026-06-12,s3,5.766,BAD,1
286,2026-07-10,s39,3.7712,ok,0
287,2026-01-15,s26,-0.6561,ok,2
288,1706417487,s34,-0.361,ok,0
289,2026-08-13,s13,-2.1075,good,2
290,1787825592,s39,1.4732,good,0
291,2026-01-12,s5,-1.0853,BAD,2
292,2026-04-18,s33,1.5536,ok,1
293,1718529781,s23,0.82,ok,0
294,2026-07-13,s25,5.654,OK,0
295,1706983016,s3,1.5875,ok,1
296,2026-04-12,s21,6.3154,ok,1
297,2026-03-15,s16,3.9629,OK,1
298,1716125307,s10,0.6039,,0
299,1741199456,s12,-0.2632,good,0
300,2026-08-18,s6,-1.4212,BAD,2
301,2026-05-18,s22,-1.4646,ok,2
302,1780947206,s30,-4.3664,BAD,2
303,1778439050,s35,0.3733,,0
304,1729492608,s32,0.8911,OK,0
305,2026-01-12,s11,-2.4616,,2
306,1733655665,s11,6.1054,BAD,1
307,1772493805,s17,4.2137,BAD,1
308,1768296949,s11,6.4885,BAD,1
309,1745598821,s7,-3.6544,BAD,2
310,1700220967,s26,-3.638,,2
311,1712071388,s32,2.9652,BAD,1
312,2026-09-17,s18,-5.5607,good,2
313,2026-01-14,s28,1.2942,,0
314,1742414867,s13,0.4112,,1
315,1733127888,s20,-4.4771,,2
316,1788304482,s31,2.5117,ok,0
317,1714680797,s19,-1.622,,2
318,1758543848,s26,4.0707,good,1
319,1751603218,s3,2.0718,,0
320,1769233107,s21,2.5771,OK,0
321,1713859554,s22,3.0846,OK,1
322,1707609747,s7,2.2668,BAD,0
323,2026-02-10,s31,3.7129,,1
324,1743956586,s5,-4.4645,good,2
325,1785846566,s14,4.257,good,1
326,1758114192,s27,7.2864,ok,1
327,1772638444,s1,-4.5291,BAD,2
328,1773992346,s38,-2.0267,BAD,2
329,2026-01-10,s28,-2.4054,good,2
330,1700284362,s30,2.128,ok,0
331,2026-07-17,s26,-3.3519,OK,2
332,1707348067,s26,-2.7735,ok,2
333,2026-08-19,s16,4.5841,,0
334,2026-06-14,s33,-5.388,ok,2
335,2026-04-14,s18,-2.7992,,2
336,2026-06-13,s27,5.2076,,1
337,1783957138,s25,7.0577,ok,1
338,2026-02-13,s39,0.949,,2
339,1787698926,s15,-5.9458,,2
340,1755852504,s28,-2.714,good,2
341,2026-04-16,s28,2.2778,,1
342,1745589339,s38,0.414,,0
343,2026-07-18,s9,4.5068,BAD,1
344,1766464521,s11,-4.3122,good,2
345,2026-08-14,s7,-0.4153,,2
346,1747329279,s4,-1.0846,,2
347,1728993258,s18,,BAD,0
348,1719945062,s40,,good,0
349,2026-02-11,s13,2.736,ok,0
350,1783842737,s21,5.1144,good,1
351,1703710417,s37,4.5812,OK,1
352,1786895197,s29,0.3971,OK,1
353,1747669881,s14,1.1366,OK,1
354,2026-08-10,s7,5.3965,OK,1
355,1771576556,s5,3.5723,good,1
356,2026-05-10,s21,-2.424,BAD,0
357,1702755375,s16,2.9497,good,0
358,1741661723,s38,8.5836,ok,1
359,2026-03-11,s20,1.0895,ok,0
360,1755453526,s24,-0.7126,,2
361,2026-09-19,s19,-4.9639,,2
362,2026-08-14,s24,0.4864,ok,0
363,2026-08-11,s38,-1.2805,good,2
364,1772948556,s33,-0.0351,OK,2
365,2026-09-15,s1,-4.7037,good,2
366,2026-09-16,s38,1.8567,,0
367,1729097128,s35,-5.7198,,2
368,2026-04-13,s16,8.5541,ok,1
369,2026-09-11,s17,4.2372,BAD,1
370,2026-06-10,s2,2.1378,ok,0
371,1724754304,s8,-5.6554,,2
372,2026-07-14,s27,-0.2697,good,2
373,1737432363,s13,4.6151,ok,1
374,1785039679,s21,-1.8111,,2
375,2026-08-19,s34,,,1
376,2026-09-15,s38,4.9085,good,1
377,1701525350,s37,-2.8708,OK,2
378,2026-09-10,s25,-2.9185,ok,2
379,2026-07-12,s23,5.6645,,1
380,2026-04-16,s3,,ok,0
381,2026-01-19,s19,1.8576,BAD,0
382,1722634381,s27,1.318,BAD,0
383,1700751002,s20,1.8183,BAD,0
384,1752637013,s35,1.4285,ok,0
385,2026-03-16,s3,4.4667,OK,1
386,1745870655,s8,4.1777,ok,1
387,1781263101,s15,-1.5367,,2
388,2026-08-19,s4,1.9497,,1
389,1781447349,s13,0.704,good,1
390,2026-03-15,s35,1.1399,good,1
391,2026-06-10,s1,5.6501,BAD,1
392,1731200702,s12,-3.6815,ok,2
393,1742643470,s16,-1.7267,,2
394,2026-03-13,s3,3.9809,BAD,1
395,1776817948,s4,1.4042,OK,1
396,1761152117,s8,4.8959,good,1
397,2026-08-13,s38,1.2815,ok,0
398,1750041267,s28,1.6401,ok,0
399,1743848189,s29,-3.8498,OK,2
400,2026-05-17,s33,,,1
401,2026-06-19,s19,3.0005,OK,1
402,1764393643,s6,-1.0546,,0
403,1720221639,s10,1.5874,,0
404,1749374022,s14,-5.1656,,2
405,2026-08-12,s9,,OK,2
406,2026-04-15,s39,3.3113,OK,0
407,2026-06-12,s7,-0.9023,ok,0
408,1723956606,s32,-0.4558,OK,2
409,2026-04-11,s30,5.1054,,1
410,1718781305,s16,-2.7316,ok,2
411,2026-03-19,s22,1.5764,good,0
412,2026-02-11,s15,-5.4375,,2
413,2026-08-17,s24,2.3358,,0
414,1780250930,s27,3.1869,OK,0
415,1716551166,s23,5.3613,good,0
416,2026-05-16,s17,2.4156,OK,1
417,1779407176,s8,7.2948,ok,1
418,2026-09-14,s7,-1.3915,ok,2
419,1756980786,s20,3.0001,,0
420,2026-08-13,s27,-4.224,good,2
421,1732503799,s30,1.1573,BAD,0
422,1717889989,s40,-4.5721,,2
423,2026-06-11,s33,-2.8796,OK,2
424,1710509374,s3,2.0796,good,0
425,1769670680,s33,6.7476,good,1
426,2026-02-12,s20,-3.6315,,2
427,1777054499,s40,-1.6777,,0
428,2026-09-16,s5,5.7922,,1
429,2026-03-16,s28,5.4836,BAD,1
430,1726514883,s1,5.1088,BAD,1
431,1788618852,s12,1.163,,0
432,1722082412,s15,-2.8742,OK,2
433,2026-03-15,s19,-2.3202,,0
434,1749686058,s33,-1.7216,,2
435,1706068504,s37,-4.8342,good,2
436,1710975880,s15,6.5496,OK,1
437,1783008074,s22,3.5132,OK,1
438,2026-03-11,s25,1.6595,OK,0
439,1760653626,s23,6.0065,ok,1
440,2026-05-19,s11,-2.1472,ok,0
441,1740626286,s5,5.0654,OK,1
442,1739693969,s19,-3.5124,BAD,2
443,2026-07-11,s26,3.3979,ok,1
444,1736296573,s26,-4.5774,ok,2
445,1706092510,s38,-4.1145,good,2
446,2026-05-14,s16,4.7282,ok,1
447,2026-01-10,s29,0.2392,BAD,0
448,1746138384,s18,-3.3922,BAD,2
449,2026-05-17,s40,-3.0638,OK,2
450,2026-03-16,s37,-6.2064,,2
451,2026-02-14,s22,2.2203,,1
452,2026-02-16,s38,2.3819,good,0
453,1733377665,s11,-4.0836,ok,2
454,2026-03-14,s12,-0.5474,,0
455,2026-08-18,s39,3.652,BAD,1
456,1726580514,s31,8.3771,BAD,1
457,2026-05-10,s14,-4.5293,good,2
458,1710879629,s36,1.123,ok,2
459,1747137742,s34,-0.2952,good,0
460,2026-05-13,s8,-3.8348,OK,2
461,2026-06-19,s3,-0.3577,,0
462,1789267405,s28,7.2017,BAD,1
463,2026-07-16,s10,5.5954,ok,1
464,2026-01-16,s9,1.3734,OK,1
465,2026-03-10,s20,2.1872,BAD,0
466,1707057364,s39,-2.6598,good,2
467,2026-08-10,s40,5.1687,,1
468,2026-08-17,s3,4.3858,BAD,1
469,1774375572,s23,-2.8677,,2
470,2026-05-16,s39,2.8021,ok,0
471,1726257700,s15,-3.0869,ok,2
472,1770327990,s35,6.0191,good,1
473,1717896908,s25,4.6364,good,1
474,1714565827,s39,0.2249,BAD,0
475,1707970703,s25,5.6155,good,1
476,1781486540,s21,0.9632,OK,0
477,2026-04-14,s39,-3.3848,BAD,2
478,2026-04-18,s9,-2.2361,OK,2
479,1703739410,s18,-0.9189,,0
480,1755631969,s38,0.9028,ok,0
481,1739365772,s6,0.8669,BAD,0
482,2026-08-10,s4,,ok,1
483,2026-07-14,s6,-2.1316,BAD,2
484,1749397184,s20,4.4694,BAD,0
485,2026-08-10,s16,1.3959,ok,0
486,1720943306,s7,-1.8824,OK,2
487,2026-06-13,s19,2.1281,ok,0
488,1727344732,s16,0.5793,ok,2
489,1771724552,s4,-2.0257,OK,2
490,1752780960,s1,-2.0519,ok,0
491,1719061830,s15,-1.8259,BAD,2
492,2026-09-15,s34,3.4817,ok,0
493,2026-07-13,s29,3.4778,,0
494,1763941809,s8,-2.9574,ok,2
495,1779703075,s39,,good,2
496,1788957855,s12,-0.696,BAD,0
497,2026-06-15,s29,3.4926,OK,1
498,1736459594,s40,-0.7036,,1
499,2026-09-19,s24,-2.1228,BAD,2
500,1761389770,s4,7.5196,OK,1
501,2026-03-17,s8,0.8579,,0
502,2026-02-17,s18,-1.3367,ok,2
503,2026-09-10,s23,-2.0952,BAD,2
504,2026-05-12,s36,6.9673,ok,1
505,2026-04-17,s2,6.197,BAD,1
506,1777347264,s16,7.7143,OK,1
507,1775386176,s17,1.5856,BAD,0
508,2026-06-12,s17,0.8141,BAD,0
509,2026-01-19,s16,,ok,2
510,2026-05-13,s12,3.5208,,0
511,1782797463,s7,-1.1671,OK,2
512,2026-03-13,s16,3.3321,,1
513,2026-09-14,s11,3.6056,OK,1
514,1714283134,s2,-2.4487,BAD,2
515,2026-08-12,s15,-5.3605,,2
516,1723081338,s31,-3.2172,ok,2
517,2026-08-18,s18,-1.8067,BAD,2
518,1738711144,s24,0.371,good,2
519,1719644846,s34,6.9612,BAD,1
520,2026-06-19,s28,3.2168,ok,1
521,2026-06-18,s36,-4.2245,BAD,2
522,1783234214,s20,-1.0419,OK,2
523,2026-03-12,s19,,OK,0
524,1785587967,s11,-0.1478,OK,0
525,1772362594,s36,2.8932,good,1
526,2026-05-15,s16,1.6397,BAD,0
527,2026-03-17,s29,2.151,,1
528,1731831851,s24,-1.1536,BAD,0
529,1781557851,s25,5.6499,,1
530,2026-07-18,s13,3.0193,BAD,1
531,1707078065,s2,2.1695,ok,0
532,1707181185,s21,1.7605,OK,0
533,2026-04-19,s39,4.1223,BAD,1
534,2026-07-17,s11,-0.6846,,0
535,2026-05-13,s6,4.7626,,1
536,1778657138,s3,-2.9372,ok,2
537,2026-08-13,s17,5.6579,,1
538,2026-02-10,s13,0.7589,ok,0
539,1719761852,s36,-1.0225,BAD,1
540,2026-09-13,s9,-2.6796,,2
541,2026-09-14,s24,3.8433,OK,0
542,1753601859,s8,7.0676,good,1
543,1709188412,s26,3.0959,good,1
544,1778264808,s26,1.0297,BAD,0
545,1772657703,s34,0.7935,BAD,0
546,1779947369,s6,3.6955,good,1
547,2026-02-16,s2,-3.2676,BAD,2
548,1706106817,s5,4.8863,ok,0
549,2026-04-17,s37,1.9435,BAD,1
550,1779994553,s30,-2.1344,OK,2
551,1761934472,s13,6.5084,BAD,1
552,2026-09-13,s5,2.454,BAD,0
553,1758581765,s28,-5.7331,BAD,2
554,1742110153,s5,,OK,0
555,1754640285,s29,7.9267,ok,1
556,1769758774,s24,-3.9069,,2
557,2026-08-18,s5,,good,1
558,2026-05-15,s33,-3.0653,ok,2
559,2026-08-15,s29,1.3484,OK,0
560,2026-07-17,s37,5.0513,BAD,1
561,2026-09-14,s39,-8.1483,OK,2
562,2026-04-13,s39,4.2607,,1
563,2026-08-13,s23,-3.5016,BAD,2
564,1785890427,s26,-3.8945,ok,2
565,2026-05-15,s28,0.5031,good,0
566,2026-07-15,s22,-3.6344,good,2
567,2026-03-16,s19,4.9495,OK,1
568,1736234639,s29,4.4033,OK,1
569,1748906442,s26,5.6178,,1
570,2026-01-17,s10,-6.0137,,2
571,1777425081,s16,0.6668,BAD,2
572,2026-04-10,s22,1.0318,good,1
573,2026-02-19,s25,-3.611,,2
574,2026-01-18,s32,4.6984,good,1
575,1758583967,s24,2.866,,0
576,2026-07-18,s5,7.7874,ok,1
577,1718128612,s39,5.0781,good,1
578,1701034191,s37,-0.0943,,0
579,2026-08-15,s21,1.1555,,0
580,1751791247,s35,-2.9839,good,2
581,1784232212,s7,-0.6364,ok,0
582,2026-08-16,s16,-1.3877,,2
583,1744411931,s25,-4.1258,OK,2
584,2026-05-18,s33,4.5615,OK,1
585,1765802182,s33,-4.9678,ok,2
586,1782547808,s12,0.0386,,0
587,2026-09-12,s11,5.095,OK,1
588,1733771033,s30,4.3777,ok,1
589,1709361681,s6,2.1495,BAD,0
590,2026-03-10,s5,-3.2413,good,2
591,1751236643,s8,3.9359,BAD,1
592,2026-04-16,s12,-3.8924,,2
593,1729954192,s18,3.5529,ok,1
594,1787160009,s33,4.1329,ok,0
595,1724065580,s38,6.1275,,1
596,1780701259,s40,5.8354,good,1
597,1789498699,s14,-3.5196,BAD,2
598,2026-06-10,s5,8.4354,ok,1
599,2026-01-14,s1,-3.7202,,2
600,1709442050,s36,,BAD,1
601,2026-03-13,s37,4.6751,good,1
602,1758349007,s24,4.3338,good,1
603,1784576687,s21,-0.9496,BAD,2
604,1771253045,s22,6.1765,OK,1
605,1751085289,s20,4.5458,ok,1
606,1740012036,s4,2.033,OK,2
607,2026-02-19,s6,-2.7386,good,2
608,2026-06-11,s33,5.5352,BAD,1
609,2026-03-19,s26,-3.1705,,0
610,2026-02-11,s31,2.1779,,1
611,1719915467,s9,6.198,BAD,1
612,1784093772,s4,-3.581,ok,2
613,2026-07-17,s33,-4.636,OK,2
614,1778294716,s26,5.3881,BAD,1
615,1723202285,s19,-2.5835,,2
616,2026-02-17,s31,-0.4814,,2
617,2026-03-19,s39,1.5915,good,0
618,1780535199,s36,1.0284,good,0
619,1707716025,s38,1.4255,,0
620,2026-08-18,s28,7.6536,OK,1
621,1732670410,s2,6.4004,OK,1
622,1761021859,s22,-0.9558,,0
623,1756248227,s8,1.658,OK,0
624,1749893978,s1,4.2269,ok,1
625,1771670043,s34,-4.3434,BAD,2
626,1700272718,s14,4.5515,OK,1
627,2026-08-17,s25,1.6428,,0
628,1784257801,s28,6.5874,BAD,1
629,2026-02-13,s25,5.8588,,1
630,2026-04-19,s5,-1.8544,OK,2
631,1739433988,s20,0.408,BAD,0
632,1737600404,s7,2.2668,good,0
633,2026-06-15,s6,-3.7654,BAD,0
634,2026-01-14,s35,3.1974,BAD,1
635,2026-09-19,s32,-6.0378,ok,2
636,2026-09-13,s16,-2.3092,OK,2
637,2026-01-19,s38,-2.7197,BAD,2
638,2026-03-16,s38,4.3748,good,1
639,1782656600,s13,,ok,0
640,2026-04-17,s36,-0.9084,OK,2
641,2026-01-16,s8,,good,0
642,2026-07-12,s4,4.7781,ok,1
643,1787766182,s22,6.5187,BAD,1
644,1725799596,s27,3.1676,ok,1
645,1728969749,s27,4.4758,,1
646,1703675438,s2,4.3791,good,1
647,1731969212,s12,0.2544,,0
648,1776105317,s12,-0.464,OK,0
649,1757531283,s1,,ok,0
650,2026-07-15,s39,3.9448,OK,1
651,2026-06-13,s9,5.2603,,1
652,1706535861,s35,-4.2686,BAD,2
653,2026-09-13,s40,3.8087,OK,0
654,1742281600,s32,2.1938,good,0
655,2026-07-19,s23,1.2914,ok,0
656,2026-07-17,s17,-3.2407,ok,2
657,2026-07-19,s33,5.0046,,1
658,1710639871,s35,5.2454,,1
659,1764858024,s32,-0.4538,BAD,0
660,2026-06-15,s37,4.0678,good,1
661,1711647514,s17,-1.288,OK,0
662,1751002748,s21,-2.6783,ok,2
663,2026-04-12,s19,-5.3242,,2
664,1712198193,s4,-6.015,OK,2
665,2026-06-11,s3,4.5303,OK,1
666,2026-07-12,s6,-2.5385,OK,2
667,1733185256,s17,-1.3758,,2
668,1758001179,s33,-1.7729,good,2
669,2026-06-13,s15,1.4459,ok,0
670,2026-07-18,s36,5.3942,ok,1
671,1783870515,s19,-1.4789,ok,2
672,1752500603,s22,-5.1972,BAD,2
